Date,Open,High,Low,Close,Adj Close,Volume
2020-01-23,158.690002,159.789993,156.729996,159.550003,142.225113,241700
2020-01-24,159.919998,160.380005,156.600006,157.770004,140.638382,264900
2020-01-27,156.210007,157.899994,155.360001,156.139999,139.185394,229000
2020-01-28,157.270004,158.039993,156.610001,156.860001,139.827194,198000
2020-01-29,157.199997,157.580002,155.990005,156.899994,139.862839,193400
2020-01-30,156.210007,157.460007,154.850006,155.789993,138.873383,197500
2020-01-31,155.729996,156.020004,152.490005,152.929993,136.323929,441000
2020-02-03,153.509995,154.419998,151.699997,152.139999,135.619705,255400
2020-02-04,153.520004,154.419998,152.539993,152.660004,136.083237,214600
2020-02-05,153.729996,156.649994,153.020004,156.410004,139.426056,236300
2020-02-06,156.910004,158.929993,156.119995,158.490005,141.280212,201000
2020-02-07,158.410004,159.789993,158.039993,158.399994,141.199966,164800
2020-02-10,158.399994,160.740005,157.820007,160.589996,143.152176,257700
2020-02-11,160.990005,160.990005,158.960007,160.460007,143.036301,278100
2020-02-12,160.860001,162.070007,159.850006,161.809998,144.239685,221800
2020-02-13,161.440002,165.699997,160.610001,165.089996,147.163528,407300
2020-02-14,165.380005,165.759995,162.949997,164.889999,146.985260,241700
2020-02-18,164.660004,165.740005,162.880005,163.070007,145.362900,309500
2020-02-19,163.759995,164.720001,162.169998,163.289993,145.558990,224600
2020-02-20,163.660004,166.839996,163.550003,166.529999,148.447174,318100
2020-02-21,166.410004,169.149994,165.600006,168.800003,150.470688,412100
2020-02-24,166.369995,168.809998,164.889999,166.029999,148.001480,602400
2020-02-25,170.000000,170.100006,159.729996,159.929993,142.563858,861900
2020-02-26,160.699997,163.750000,155.589996,156.389999,139.408234,855000
2020-02-27,154.429993,155.000000,148.610001,148.750000,132.597855,762000
2020-02-28,145.360001,147.479996,141.820007,143.330002,127.766365,830700
2020-03-02,144.759995,149.529999,142.589996,149.300003,133.088089,494000
2020-03-03,148.789993,149.949997,143.710007,143.970001,128.336884,553900
2020-03-04,145.389999,147.910004,144.619995,147.179993,131.198273,401500
2020-03-05,144.199997,144.229996,135.800003,137.229996,122.328728,519700
2020-03-06,132.679993,137.110001,130.289993,132.559998,118.165817,532300
2020-03-09,126.300003,128.899994,119.510002,121.209999,108.048294,638100
2020-03-10,126.430000,126.730003,118.980003,124.260002,110.767113,435400
2020-03-11,120.879997,122.000000,108.739998,109.160004,97.306747,764400
2020-03-12,97.870003,101.720001,88.000000,93.529999,83.373940,1417400
2020-03-13,99.110001,100.449997,92.779999,99.279999,88.499573,778500
2020-03-16,89.239998,90.470001,74.019997,77.540001,69.120247,1144500
2020-03-17,79.010002,79.919998,68.000000,69.379997,61.846302,1281900
2020-03-18,62.220001,63.799999,55.509998,56.720001,50.560993,1356800
2020-03-19,54.770000,70.650002,53.610001,69.940002,62.345509,1363500
2020-03-20,72.010002,75.430000,65.230003,65.839996,58.690693,1150300
